train_size_category,test_roc_auc,test_balanced_accuracy,fold-site,classifier,feature_type,atlas,dataset
400,0.7811728395061728,0.6972222222222222,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6666666666666667,0.7647058823529411,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6885964912280702,0.6466165413533835,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6763285024154589,0.6618357487922705,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
400,0.6557142857142857,0.6307142857142857,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6826923076923077,0.679945054945055,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.683641975308642,0.6643518518518519,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.7060041407867496,0.6511387163561076,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.8253968253968255,0.7261904761904763,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6201923076923077,0.5408653846153846,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6756578947368421,0.5776315789473685,mannheim,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6880804953560371,0.6524767801857585,creteil,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.7811728395061728,0.6972222222222222,udine,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6862745098039217,0.6568627450980392,galway,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6516290726817042,0.656328320802005,pittsburgh,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.5990338164251208,0.5483091787439613,grenoble,EN,zscores_VBM_ROI,Neuromorphometrics,N763
450,0.6614285714285714,0.6685714285714286,geneve,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6847527472527473,0.5824175824175823,Baltimore,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6774691358024691,0.6666666666666666,Boston,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6987577639751552,0.6413043478260869,Dallas,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.7857142857142858,0.6785714285714286,Detroit,EN,zscores_VBM_ROI,Neuromorphometrics,N763
500,0.6650641025641026,0.608974358974359,Hartford,EN,zscores_VBM_ROI,Neuromorphometrics,N763
